label,index,OBJECTID,YearBuilt1,HEIGHT,UseDescription,orientation,street_width,second_type,idx,building_reference
commercial_4,26114,26114,1998,3,Commercial,79.99999999999999,16.269999999999992,Retail commerce,26114,8434214DG1083D
commercial_3,32694,32694,1950,3,Commercial,75.0,11.819999999999988,Commerce,32694,9217014DG1091B
commercial_5,13283,13283,2009,3,Commercial,59.99999999999998,20.449999999999992,Commerce,13283,7134411DG1073D
commercial_0,16834,16834,1900,3,Commercial,14.999999999999977,1.469999999999992,Retail commerce,16834,7518003DG1071B
commercial_2,18926,18926,1905,3,Commercial,345.0,13.929999999999987,Commerce,18926,7712008DG1071B
commercial_4,8800,8800,1960,3,Commercial,29.99999999999999,12.189999999999987,Commerce,8800,6727614DG1062D
commercial_6,19458,19458,1972,3,Commercial,115.0,10.629999999999992,Commerce,19458,7722521DG1072B
commercial_5,4605,4605,1990,3,Commercial,124.99999999999999,0.0,Commerce,4605,5792030DF1959H
commercial_0,13003,13003,1949,3,Commercial,185.0,9.809999999999993,Retail commerce,13003,7117817DG1071B
commercial_0,23467,23467,1974,3,Commercial,79.99999999999999,13.849999999999987,Commerce,23467,8131032DG1083D
commercial_3,19518,19518,2001,3,Commercial,79.99999999999999,8.659999999999998,Commerce,19518,7723003DG1072B
commercial_3,16896,16896,1940,3,Commercial,49.99999999999999,5.189999999999988,Commerce,16896,7518410DG1071B
commercial_6,31618,31618,1962,3,Commercial,349.99999999999994,32.279999999999994,Commerce,31618,9031001DG1093D
commercial_2,21903,21903,1930,3,Commercial,99.99999999999999,11.759999999999996,Retail commerce,21903,8011320DG1081B
commercial_3,19979,19979,2007,6,Commercial,19.99999999999997,14.099999999999987,Commerce,19979,7815102DG1071B
commercial_4,16987,16987,2023,3,Commercial,189.99999999999997,1.7999999999999914,Commerce,16987,7519168DG1071B
commercial_2,21812,21812,1900,3,Commercial,300.0,33.20999999999999,Commerce,21812,8005101DG1080B
commercial_3,6433,6433,1958,3,Commercial,280.0,20.73999999999999,Commerce,6433,6418327DG1061B
commercial_0,14550,14550,1970,3,Commercial,170.0,107.93,Commerce,14550,7229618DG1072D
commercial_2,11235,11235,1948,3,Commercial,275.0,11.27,Commerce,11235,7012346DG1071B
commercial_3,23744,23744,1978,3,Commercial,305.0,12.85999999999999,Commerce,23744,8206502DG1080B
commercial_2,21802,21802,1975,3,Commercial,79.99999999999999,58.03999999999999,Commerce,21802,8003209DG1080B
commercial_2,16694,16694,2012,3,Commercial,285.0,8.889999999999993,Commerce,16694,7511260DG1071B
commercial_3,23595,23595,1997,3,Commercial,174.99999999999997,34.36999999999998,Commerce,23595,8137824DG1083D
commercial_1,16886,16886,1950,3,Commercial,225.00000000000003,7.839999999999987,Retail commerce,16886,7518401DG1071B
commercial_2,22539,22539,1880,3,Commercial,150.0,37.01,Commerce,22539,8023631DG1082B
commercial_2,32521,32521,1958,3,Commercial,255.00000000000003,30.8,Commerce,32521,9214315DG1091B
commercial_4,18664,18664,1991,3,Commercial,185.0,119.75,Commerce,18664,7705219DG1070B
commercial_6,13382,13382,1964,3,Commercial,219.99999999999997,14.949999999999994,Commerce,13382,7135718DG1073D
commercial_2,4856,4856,1994,3,Commercial,104.99999999999997,17.699999999999985,Commerce,4856,5913401DG1051B
commercial_2,16875,16875,1900,3,Commercial,14.999999999999977,1.7999999999999914,Commerce,16875,7518102DG1071B
commercial_4,35163,35163,1965,3,Commercial,215.0,11.869999999999992,Commerce,35163,9427721DG1092D
commercial_2,22818,22818,1950,3,Commercial,170.0,13.799999999999999,Commerce,22818,8030829DG1083D
commercial_4,193,193,2007,3,Commercial,129.99999999999997,10.779999999999987,Commerce,193,0018552DG2001A
commercial_3,16727,16727,1970,3,Commercial,69.99999999999997,7.829999999999999,Retail commerce,16727,7513314DG1071B
commercial_4,30657,30657,2000,3,Commercial,99.99999999999999,34.42999999999999,Commerce,30657,8913519DG1081B
commercial_2,21523,21523,1950,3,Commercial,349.99999999999994,13.859999999999992,Commerce,21523,7929304DG1072D
commercial_4,19419,19419,1931,9,Commercial,305.0,6.2199999999999855,Commerce,19419,7720335DG1072B
commercial_2,17999,17999,1900,6,Commercial,305.0,4.859999999999989,Commerce,17999,7619505DG1071B
commercial_2,18775,18775,1994,3,Commercial,124.99999999999999,26.62,Commerce,18775,7707063DG1070B
commercial_2,16964,16964,1919,3,Commercial,230.0,7.729999999999992,Commerce,16964,7519155DG1071B
commercial_3,26295,26295,1992,3,Commercial,75.0,9.819999999999999,Commerce,26295,8509612DG1080B
commercial_2,32684,32684,1960,3,Commercial,345.0,12.169999999999995,Commerce,32684,9217001DG1091B
commercial_6,16420,16420,1930,3,Commercial,235.0,20.28,Commerce,16420,7431130DG1073D
commercial_4,105,105,1968,3,Commercial,129.99999999999997,23.609999999999992,Retail commerce,105,0017013DG2001A
commercial_0,28296,28296,2016,3,Commercial,79.99999999999999,11.900000000000002,Commerce,28296,8633208DG1083D
commercial_2,16653,16653,1994,3,Commercial,349.99999999999994,13.439999999999989,Commerce,16653,7511217DG1071B
commercial_0,14756,14756,1977,3,Commercial,99.99999999999999,10.259999999999993,Commerce,14756,7234030DG1073D
commercial_5,18842,18842,2010,3,Commercial,260.0,74.24999999999999,Commerce,18842,7709332DG1070B
commercial_5,13136,13136,1953,6,Commercial,129.99999999999997,55.31999999999999,Commerce,13136,7127701DG1072D
commercial_3,18590,18590,2000,3,Commercial,0.0,23.72999999999999,Commerce,18590,7638516DG1073D
commercial_0,16810,16810,2003,3,Commercial,4.999999999999993,6.099999999999988,Commerce,16810,7516756DG1071B
commercial_3,32766,32766,1960,3,Commercial,255.00000000000003,11.709999999999992,Retail commerce,32766,9217335DG1091B
commercial_3,18902,18902,1970,3,Commercial,245.0,9.729999999999995,Commerce,18902,7711024DG1071B
commercial_2,14707,14707,1987,3,Commercial,170.0,29.669999999999998,Commerce,14707,7232735DG1073D
commercial_2,26326,26326,1989,3,Commercial,345.0,9.839999999999991,Commerce,26326,8510411DG1081B
commercial_0,13027,13027,1956,3,Commercial,185.0,7.769999999999992,Commerce,13027,7120819DG1072B
commercial_4,8776,8776,1992,3,Commercial,305.0,55.089999999999996,Commerce,8776,6727005DG1062D
commercial_3,30632,30632,1968,3,Commercial,255.00000000000003,9.939999999999996,Commerce,30632,8912513DG1081B
commercial_6,34435,34435,1963,3,Commercial,165.0,29.369999999999994,Commerce,34435,9330816DG1093D
commercial_3,9214,9214,1918,3,Commercial,255.00000000000003,11.999999999999993,Commerce,9214,6812445DG1061B
commercial_2,31350,31350,1969,3,Commercial,345.0,11.900000000000002,Commerce,31350,9019010DG1091B
commercial_4,438,438,1960,3,Commercial,145.0,26.56,Retail commerce,438,0029702DG2002C
commercial_5,32079,32079,1978,3,Commercial,300.0,28.23,Commerce,32079,9120101DG1092B
commercial_4,32168,32168,1958,3,Commercial,260.0,28.56,Commerce,32168,9127201DG1092D
commercial_4,19363,19363,1905,3,Commercial,305.0,27.999999999999993,Retail commerce,19363,7719152DG1071B
commercial_0,21088,21088,1923,3,Commercial,165.0,11.15999999999999,Commerce,21088,7919720DG1071B
commercial_2,14018,14018,1957,3,Commercial,165.0,9.869999999999987,Retail commerce,14018,7217416DG1071B
commercial_2,27916,27916,1960,3,Commercial,340.0,26.279999999999998,Commerce,27916,8621501DG1082B
commercial_6,35648,35648,1998,3,Commercial,124.99999999999999,0.0,Supermarket commerce,35648,9538401DG1093D
commercial_2,20135,20135,1935,3,Commercial,160.0,7.969999999999989,Retail commerce,20135,7820219DG1072B
commercial_3,13738,13738,1962,3,Commercial,180.0,7.969999999999989,Commerce,13738,7213219DG1071B
commercial_2,9094,9094,1925,3,Commercial,345.0,10.039999999999988,Retail commerce,9094,6811802DG1061B
commercial_0,12975,12975,1952,3,Commercial,185.0,9.78,Commerce,12975,7117617DG1071B
commercial_4,13988,13988,2002,3,Commercial,189.99999999999997,18.66999999999999,Commerce,13988,7217322DG1071B
commercial_0,15156,15156,1900,3,Commercial,265.0,56.95,Commerce,15156,7313035DG1071B
commercial_6,10930,10930,1968,3,Commercial,45.0,15.699999999999998,Commerce,10930,6935210DG1063D
commercial_3,5070,5070,1960,3,Commercial,99.99999999999999,37.56,Commerce,5070,6118434DG1061B
commercial_4,20346,20346,1930,3,Commercial,285.0,9.509999999999991,Retail commerce,20346,7824401DG1072B
commercial_0,22092,22092,1961,3,Commercial,265.0,23.04,Retail commerce,22092,8015001DG1081B
commercial_2,25664,25664,1998,3,Commercial,84.99999999999997,25.46999999999999,Commerce,25664,8417712DG1081B
